"Field Name","fieldID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name","-1 Morning","-1 Midday","-1 Afternoon","0 Morning","0 Midday","0 Afternoon","1 Morning","1 Midday","1 Afternoon","2 Morning","2 Midday","2 Afternoon","3 Morning","3 Midday","3 Afternoon"
"Westcott/Rebuhn","586","2015-04-22","41","5","2015-06-02","First Vegetative","","","","","","","","","","","","","","",""
"Peterson","585","2015-04-27","38","7","2015-06-04","First Vegetative","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Mike's","635","2015-04-17","49","8","2015-06-05","Second Vegetative","","","","","","","","","","","","","","",""
"Joe-40","667","2015-04-15","51","8","2015-06-05","Second Vegetative","","","","","","","","","","","","","","",""
"Home","599","2015-04-11","56","9","2015-06-06","Second Vegetative","","","","","","","","","","","","","","",""
"E 14-27-24 #11","1626","2015-04-22","45","9","2015-06-06","Second Vegetative","","","","","","","","","","","","","","",""
"NE 15-27-24 #9","1627","2015-04-20","47","9","2015-06-06","Second Vegetative","","","","","","","","","","","","","","",""
"Sittie","1632","2015-04-21","46","9","2015-06-06","Second Vegetative","","","","","","","","","","","","","","",""
"Martin #4","1637","2015-04-22","45","9","2015-06-06","Second Vegetative","","","","","","","","","","","","","","",""
"#2G","1639","2015-04-21","46","9","2015-06-06","Second Vegetative","","","","","","","","","","","","","","",""
"#1","1645","2015-04-25","42","9","2015-06-06","Second Vegetative","","","","","","","","","","","","","","",""
"Don's","661","2015-04-15","53","10","2015-06-07","Second Vegetative","","","","","","","","","","","","","","",""
"Margeret #3","1636","2015-04-23","45","10","2015-06-07","Second Vegetative","","","","","","","","","","","","","","",""
"#19B","1638","2015-04-25","43","10","2015-06-07","Second Vegetative","","","","","","","","","","","","","","",""
"Irwin","653","2015-04-17","52","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"Erling","1007","2015-04-17","52","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"#21","1642","2015-04-29","40","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"#21","1643","2015-04-29","40","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"#21","1644","2015-04-29","40","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"#11","1646","2015-04-30","39","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"Patterson Ranch- South Bottom","336","2015-04-22","47","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"K-State West","331","2015-04-22","47","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"Jim Home North","591","2015-04-22","47","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"Jim Home South","592","2015-04-22","47","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"Jim North","593","2015-04-22","47","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"Esther East","594","2015-04-23","46","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"Jim Home North","595","2015-04-22","47","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"Mudd Creek corn 2015","986","2015-04-16","53","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"The 90","652","2015-04-14","55","11","2015-06-08","Second Vegetative","","","","","","","","","","","","","","",""
"Bishop","651","2015-04-17","53","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"N. Doran","1633","2015-05-01","39","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"S. Doran","1634","2015-04-30","40","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"HQ - NE","1011","2015-04-24","46","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"Farmers Drive","1023","2015-04-25","45","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"Barrett 40","1021","2015-04-27","43","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"2092-BAILEY WEST","388","2015-04-17","53","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"3208-STOOKEY","395","2015-04-17","53","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"3250-BAILEY HOME","396","2015-04-17","53","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"3249-POLK WEBSTER","479","2015-04-17","53","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"Leroy/Hamann","658","2015-04-17","53","12","2015-06-09","Second Vegetative","","","","","","","","","","","","","","",""
"Graves","664","2015-04-20","51","13","2015-06-10","Second Vegetative","","","","","","","","","","","","","","",""
"Kyle's","614","2015-04-27","44","13","2015-06-10","Second Vegetative","","","","","","","","","","","","","","",""
"Kreiger","678","2015-04-30","41","13","2015-06-10","Second Vegetative","","","","","","","","","","","","","","",""
"Houston","1631","2015-05-02","39","13","2015-06-10","Second Vegetative","","","","","","","","","","","","","","",""
"S Bottom 158","1014","2015-04-28","43","13","2015-06-10","Second Vegetative","","","","","","","","","","","","","","",""
"Hibbard North","1015","2015-04-28","43","13","2015-06-10","Second Vegetative","","","","","","","","","","","","","","",""
"SAX-2010","1016","2015-04-29","42","13","2015-06-10","Second Vegetative","","","","","","","","","","","","","","",""
"3218-BAUM","438","2015-04-18","53","13","2015-06-10","Second Vegetative","","","","","","","","","","","","","","",""
"Home","608","2015-04-27","45","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"N-120","611","2015-04-28","44","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Home","634","2015-04-29","43","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"Tom Wilson","1630","2015-05-03","39","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"#7","1641","2015-05-04","38","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
"E Hammonds 92","1012","2015-04-30","42","14","2015-06-11","Second Vegetative","","","","","","","","","","","","","","",""
